tanggal,kelurahan,kecamatan,netto_kg,Luas
01/01/2020,-,Magelang Selatan,2280,7.13
01/01/2020,Cacaban,Magelang Tengah,5560,5.1011
01/01/2020,Jurangombo,Magelang Tengah,3270,5.1011
01/01/2020,Jurangombo Utara,Magelang Selatan,6820,7.13
01/01/2020,Kedungsari,Magelang Utara,2705,6.29
01/01/2020,Kemiri Rejo,Magelang Tengah,2350,5.1011
01/01/2020,Kramat Selatan,Magelang Utara,3250,6.29
01/01/2020,Kramat Utara,Magelang Utara,1565,6.29
01/01/2020,Magelang,Magelang Tengah,1130,5.1011
01/01/2020,Magersari,Magelang Selatan,850,7.13
01/01/2020,Potrobangsan,Magelang Utara,1175,6.29
01/01/2020,Rejowinangun Selatan,Magelang Selatan,2370,7.13
01/01/2020,Tidar Selatan,Magelang Selatan,500,7.13
01/01/2020,Wates,Magelang Utara,2500,6.29
01/01/2021,-,Magelang Selatan,4780,7.13
01/01/2021,-,Magelang Utara,2860,6.29
01/01/2021,Cacaban,Magelang Tengah,3970,5.1011
01/01/2021,Jurangombo,Magelang Tengah,3230,5.1011
01/01/2021,Jurangombo Utara,Magelang Selatan,6110,7.13
01/01/2021,Kedungsari,Magelang Utara,4415,6.29
01/01/2021,Kemiri Rejo,Magelang Tengah,2945,5.1011
01/01/2021,Kramat Selatan,Magelang Utara,4080,6.29
01/01/2021,Kramat Utara,Magelang Utara,1015,6.29
01/01/2021,Magelang,Magelang Tengah,920,5.1011
01/01/2021,Magersari,Magelang Selatan,4995,7.13
01/01/2021,Panjang,Magelang Tengah,1445,5.1011
01/01/2021,Potrobangsan,Magelang Utara,530,6.29
01/01/2021,Rejowinangun Selatan,Magelang Selatan,1830,7.13
01/01/2021,Tidar Selatan,Magelang Selatan,370,7.13
01/01/2021,Wates,Magelang Utara,2230,6.29
01/01/2022,-,Magelang Selatan,1890,
01/01/2022,-,Magelang Utara,2570,
01/01/2022,Cacaban,Magelang Tengah,5100,
